ID,Nom,Categorie,Couleur,Etat,Description,Fabricant,Serial,VOLO_ID,Expiry,Inspecte_par,Date_inspection,Sac_Appartenance,Notes
SAC-001,Sac #1,Sac Premonter #1,Bleu,Bon,Rouge,CMC,,,,,,Sac Premonter #1,Bleu
PAL-001,Palan premonter harken wingman,Sac Premonter #1,Bleu,Bon,sac Rouge,CMC,2024353176,Wing:02,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,"4:1 ou 5:1     NFPA G rated   NFPA 1983, INCORPORÉ DANS L’ÉDITION 2022 DU NFPA 2500    H-86666 Poulie double avec bride latérale Homologation : EN 12278.2007  mousqueton 25130V1227 BMD sur sac et le 25130V1228 sur le palan"
MSQ-001,CMC DNA TWIST,Sac Premonter #1,Bleu,Bon,Mousqueton twist,CMC,part:3000095-01Lot23227006230282,M:26,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,
MSQ-002,CMC DNA TWIST,Sac Premonter #1,Bleu,Bon,Mousqueton twist,CMC,part:3000095-01Lot23227006230404,M:27,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,
MSQ-003,Vulcan visse,Sac Premonter #1,Bleu,Bon,Mousqueton acier visse noire,Petzl,25L065728093,,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,noir
MSQ-004,Vulcan visse,Sac Premonter #1,Bleu,Bon,Mousqueton acier visse noire,Petzl,25L065728171,,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,noir
MSQ-005,Vulcan visse,Sac Premonter #1,Bleu,Bon,Mousqueton acier visse noire,Petzl,25L0675728087,,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,noir
MSQ-006,Vulcan visse,Sac Premonter #1,Bleu,Bon,Mousqueton acier visse noire,Petzl,25L0675728170,,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,noir
MSQ-007,Vulcan visse,Sac Premonter #1,Bleu,Bon,Mousqueton acier visse noire,Petzl,25I0675728136,,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,noir
MSQ-008,Vulcan,Sac Premonter #1,Bleu,A surveiller,Mousqueton 3 actions,Petzl,23A0462347758,M:32,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,norme - CSA Z259.12 NFPA:2500(1983)ED(G) -D'ébut d'usure
MSQ-009,Vulcan,Sac Premonter #1,Bleu,A surveiller,Mousqueton 3 actions,Petzl,23A0462347608,M:29,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,Norme : NFPA 2500(1983) 2022ED(G) EN 362:2004/B D'ébut d'usure
MSQ-010,Vulcan,Sac Premonter #1,Bleu,A surveiller,Mousqueton 3 actions,Petzl,23A0462347683,M:31,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,norme - CSA Z259.12 NFPA:2500(1983)ED(G)  Rouille de surface a surveiller
MSQ-011,Vulcan,Sac Premonter #1,Bleu,A surveiller,Mousqueton 3 actions,Petzl,23A0462347757,M:37,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,norme - CSA Z259.12 NFPA:2500(1983)ED(G) D'ébut d'usure
MSQ-012,Vulcan,Sac Premonter #1,Bleu,A surveiller,Mousqueton 3 actions,Petzl,23A0462347680,M:40,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,norme - CSA Z259.12 NFPA:2500(1983)ED(G) D'ébut d'usure
MSQ-013,Vulcan,Sac Premonter #1,Bleu,A surveiller,Mousqueton 3 actions,Petzl,24K0612594217,M:76,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,usure
MSQ-014,Vulcan,Sac Premonter #1,Bleu,A surveiller,Mousqueton 3 actions,Petzl,24K0612594216,M:80,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,usure
MSQ-015,Vulcan,Sac Premonter #1,Bleu,A surveiller,Mousqueton 3 actions,Petzl,23J0521890132,M:16,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,usure
MSQ-016,Vulcan,Sac Premonter #1,Bleu,A surveiller,Mousqueton 3 actions,Petzl,24K0612594300,M:73,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,usure
MSQ-017,Vulcan,Sac Premonter #1,Bleu,A surveiller,Mousqueton 3 actions,Petzl,23J0521890163,M:18,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,usure
MSQ-018,Vulcan,Sac Premonter #1,Bleu,A surveiller,Mousqueton 3 actions,Petzl,23J0521890139,M:15,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,usure
MSQ-019,Vulcan,Sac Premonter #1,Bleu,A surveiller,Mousqueton 3 actions,Petzl,23A0462347681,,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,usure
MSQ-020,Bm'D,Sac Premonter #1,Bleu,Bon,Mousqueton 3 actions,Petzl,24251V1084,M:85,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,2 mousqueton sur ASAP
MSQ-021,Bm'D,Sac Premonter #1,Bleu,Bon,Mousqueton 3 actions,Petzl,24265V0386,M:97,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,2 mousqueton sur ASAP
MSQ-022,Bm'D,Sac Premonter #1,Bleu,Bon,Mousqueton 3 actions,Petzl,24251V1090,M:70,,Cédric Lapointe Stewart,14/01/2026,Sac Premonter #1,2 mousqueton sur ASAP
